rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/0814255,Nell Minow,FALSE,Beliefnet,Fresh,B,2010/2/11,The main thing this movie seems to be missing is classically trained British actors.
m/0814255,Mary Elizabeth Williams,TRUE,Salon.com,Rotten,,2010/2/11,"When the movie slows down to catch its breath, there's very little of the heart and soul -- and wry wit -- that make the Riordan books so beloved."
m/0814255,Dustin Putman,FALSE,TheFilmFile.com,Fresh,2.5/4,2010/2/11,"Imperfect, yes, but also both suitably imaginative and entertaining. Works as action-adventure razzle-dazzle, coming-of-age tale, and beginners' lesson on Greek mythology."
m/0814255,Stephen Holden,TRUE,New York Times,Rotten,2月5日,2010/2/11,"Although the standard allegorical bases for mythical-quest movies are dutifully covered, the obvious similarity of Percy Jackson to the Harry Potter movies inevitably makes it feel somewhat secondhand."
m/0814255,Jeffrey M. Anderson,FALSE,Combustible Celluloid,Rotten,1月4日,2010/2/11,"A little bit worse than lifeless; it's clueless, like a Medusa running around with her head cut off."
m/0814255,Elizabeth Weitzman,TRUE,New York Daily News,Fresh,3月5日,2010/2/11,You don't even have to be familiar with the first book in Rick Riordan's popular fantasy series to enjoy Chris Columbus' energetic adaptation.
m/0814255,Kenneth Turan,TRUE,Los Angeles Times,Rotten,2月5日,2010/2/11,"This is generic filmmaking at its most banal, a simple-minded simplification of a not overwhelmingly complex book."
m/0814255,Moira MacDonald,TRUE,Seattle Times,Rotten,2月4日,2010/2/11,"Kids may well enjoy the adventures of The Lightning Thief on screen, but I think most readers will prefer the movie in their imaginations."
m/0814255,James Rocchi,TRUE,MSN Movies,Fresh,3月5日,2010/2/11,An attempt to steal some of Harry Potter's thunder that also stands on its own as a well-made large-scale adventure that works well enough to entertain the teens it's hoping to strike.
m/0814255,Stephen Whitty,TRUE,Newark Star-Ledger,Fresh,3月4日,2010/2/11,"With great effects (and a few surprises) it's a fun, Saturday-matinee adventure."
m/0814255,David Plotz,TRUE,Slate,Rotten,,2010/2/11,Columbus directs with his usual frying pan to the head. Music is forever swelling majestically. Characters are always opening wide their eyes and mouths to gaze in wonder.
m/0814255,Jeff Vice,FALSE,Deseret News (Salt Lake City),Fresh,2月4日,2010/2/11,"While this might not rival the later, better Harry Potter movies or the Lord of the Rings trilogy, it's more fun than you might expect."
m/0814255,Wesley Morris,TRUE,Boston Globe,Rotten,2月4日,2010/2/11,"Percy Jackson & the Olympians sounds like an Otis Redding cover band. It is, instead, an unofficial cover of the Harry Potter franchise."
m/0814255,Andrea Gronvall,TRUE,Chicago Reader,Rotten,,2010/2/11,The movie feels like a cut-rate Potter knockoff with a dash of Ray Harryhausen.
m/0814255,Tasha Robinson,TRUE,AV Club,Rotten,C-,2010/2/11,"In Columbus' hands, it once again all breaks down into a series of rushed, breathless special-effects setpieces, in a thrill ride that isn't headed anywhere new."
m/0814255,Rene Rodriguez,TRUE,Miami Herald,Fresh,2.5/4,2010/2/11,The Lightning Thief makes the idea of a sequel seem like an inviting proposition.
m/0814255,Kent Turner,FALSE,School Library Journal,Fresh,2.75/5,2010/2/11,"Columbus aims at nothing more than providing a rambunctious romp. He nimbly avoids the fate that has snared other film adaptations, like Eragon and Inkheart."
m/0814255,Bill Gibron,FALSE,Filmcritic.com,Rotten,3月5日,2010/2/11,gets so many things right that when it goes astray that you kind of wish it hadn't tried in the first place
m/0814255,Joe Williams,TRUE,St. Louis Post-Dispatch,Fresh,2.5/4,2010/2/11,"The Lightning Thief isn't electric, but it generates some spark when it varies the Grecian formula."
m/0814255,Cole Smithey,FALSE,ColeSmithey.com,Fresh,B-,2010/2/11,"Chris Columbus and his crew take a literal approach to spectacle that denies the magnificent use of weirdness and scale that famed stop-action animator Ray Harryhausen brought to such myth-inspired classics as ""Jason and the Argonauts"" (1963)..."
m/0814255,Michael Phillips,TRUE,Chicago Tribune,Rotten,2月4日,2010/2/11,"Even with all its computer-generated fireballs, it's lukewarm medium-budget blockbustering."
m/0814255,Matt Pais,FALSE,Metromix.com,Rotten,2月5日,2010/2/11,"The disappearance of lightning simply is not interesting, and Percy Jackson and the Olympians sounds more like a '70s funk band than a kid's series."
m/0814255,Roger Ebert,TRUE,Chicago Sun-Times,Fresh,3月4日,2010/2/11,Uma Thurman demonstrates she can wear a snake-covered head as gracefully as Pierce Brosnan can trot around with a horse's netherlands.
m/0814255,Rich Cline,FALSE,Shadows on the Wall,Fresh,3月5日,2010/2/11,The Greek-gods premise lets the filmmakers indulge in some visually whizzy sequences that keep this rather lightweight action movie entertaining.
m/0814255,Fionnuala Halligan,FALSE,Screen International,Fresh,,2010/2/11,"Of all the players, Uma Thurman channels the Bride to deliver a Medusa the children won't easily forget when it comes to bedtime."
m/0814255,Matthew Turner,FALSE,ViewLondon,Fresh,3月5日,2010/2/11,"Enjoyable, nicely paced family adventure with likeable characters, a strong central premise and some decent set-pieces, though the plot's a little hazy in places and the humour doesn't always work."
m/0814255,Peter Debruge,TRUE,Variety,Fresh,,2010/2/11,"Action movies of this scale often start off strong and wind down to forgettable finales, but Percy Jackson is the opposite, overcoming a clunky setup to deliver nearly all its thrills in the last half-hour."
m/0814255,Diva Velez,FALSE,TheDivaReview.com,Rotten,2.5/5,2010/2/12,The Lightning Thief is all crass ineptitude and lost potential. Columbus' infantilizing of any character depth and use of leftover Harry Potter special effects will amuse only the smallest in your pantheon.
m/0814255,Christopher Smith,FALSE,Bangor Daily News (Maine),Rotten,C,2010/2/12,"The plot is a pretty blatant rehash of the typical ""coming-of-age hero"" tropes. Still, while ""Percy Jackson"" may not end up being the next huge and successful franchise, at the very least, it was an honest and amusing two hours."
m/0814255,Brian Tallerico,FALSE,Movie Retriever,Rotten,,2010/2/12,"Young viewers probably will be entertained but even they are likely to realize that this could have and should have been better, especially by the time they're old enough to drive."
m/0814255,Walter Chaw,FALSE,Film Freak Central,Rotten,1月4日,2010/2/12,It raises issues it doesn't have the balls to resolve by placing them in a context it doesn't have the brains to exploit.
m/0814255,Nick Starkey,FALSE,Premiere Magazine,Rotten,1月4日,2010/2/12,Whew boy.
m/0814255,Jenna Busch,FALSE,Newsarama,Rotten,5.5/10,2010/2/12,My problems with it are the same as with most screen adaptations of young adult novels...they spend so much time struggling to explain the world they're creating that they forget which parts of the story people want to see...they figure that people (kids)
m/0814255,Kurt Loder,FALSE,MTV,Rotten,1月5日,2010/2/12,Sadly worthy of its dumping into the cinematic boneyard of wintry mid-February.
m/0814255,David Frese,FALSE,Kansas City Star,Rotten,2月4日,2010/2/12,"The camera work is frequently pedestrian, the acting is bland, and the jokes often fall flat."
m/0814255,Amy Biancolli,TRUE,Houston Chronicle,Fresh,3月4日,2010/2/12,Director Chris Columbus has brought together the modern and mythical spheres with sharp pacing and a nifty sense of fun that atone for the film's dippier moments. It's his most enjoyable effort since Harry Potter and the Chamber of Secrets.
m/0814255,Rick Groen,TRUE,Globe and Mail,Rotten,2月4日,2010/2/12,"Dutifully Potteresque it begins, and dutifully Potteresque it ends."
m/0814255,Adam Markovitz,TRUE,Entertainment Weekly,Rotten,C+,2010/2/12,"Has all the CGI sorcery of a Harry Potter pic, but none of the magic."
m/0814255,Pete Hammond,FALSE,Boxoffice Magazine,Rotten,2.5/5,2010/2/12,Columbus knows his way around this kind of material even if some of the special effects look like they came from Deep Discount.
m/0814255,Tom Long,TRUE,Detroit News,Rotten,D+,2010/2/12,"Percy Jackson, you are no Harry Potter. You are not fit to walk in a hobbit's wake."
m/0814255,Carrie R. Wheadon,FALSE,Common Sense Media,Rotten,2月5日,2010/2/12,Too scary for younger fans of the popular book.
m/0814255,Andrea Chase,FALSE,Killer Movie Reviews,Fresh,3月5日,2010/2/12,The pleasant surprise is how deftly the story translates the myths from their classical idiom into modern ones and without losing the classical flavor
m/0814255,Daniel M. Kimmel,FALSE,North Shore Movies,Fresh,3.5/5,2010/2/12,"...great fun for the whole family. And if it introduces you and any young readers in your home to the books, so much the better."
m/0814255,Thomas Leupp,FALSE,Hollywood.com,Rotten,2月5日,2010/2/12,"Sorry Mr. Jackson, but Harry Potter you ain't."
m/0814255,Brian Orndorf,FALSE,BrianOrndorf.com,Rotten,C,2010/2/12,"A clunky kid-sized epic, able to conjure colossal acts of Greek myth wonderment, but never brave enough to shut its pie hole and let the audience process the screen magic."
m/0814255,Steven D. Greydanus,FALSE,Decent Films Guide,Fresh,B-,2010/2/12,Harry Potter meets Clash of the Titans 鈥?The backdrop of Greek mythology makes an enjoyable change of pace from the medieval fantasy magic of the Potter stories.
m/0814255,Willie Waffle,FALSE,WaffleMovies.com,Rotten,1.5/4,2010/2/12,"While winning the award for longest movie title, it is a film that only goes through the motions."
m/0814255,Sonny Bunch,FALSE,Washington Times,Fresh,2.5/4,2010/2/12,Not without bright moments ... but the story is centered around a trio of young actors who simply aren't operating at the same skill level as their older costars.
m/0814255,Drew McWeeny,FALSE,HitFix,Fresh,,2010/2/12,"Built with set pieces that demonstrate a real affection for Greek myth iconography and centered on a strong performance by Logan Lerman (a star in the making), Percy Jackson & The Olympians aims young and hits the target fairly consistently."
m/0814255,Marshall Fine,FALSE,Hollywood & Fine,Rotten,,2010/2/12,It's not awful. It's just not particularly inspired. Something tells me this movie won't be inspiring a sequel anytime soon.
m/0814255,Jim Judy,FALSE,Screen It!,Fresh,,2010/2/12,Parental Content Review
m/0814255,Michael O'Sullivan,TRUE,Washington Post,Rotten,2月4日,2010/2/12,"Harry, Ron and Hermione: Relax. You could whip Percy Jackson and his pals with your wand hands tied behind your backs."
m/0814255,Lou Lumenick,TRUE,New York Post,Rotten,2月4日,2010/2/12,"The film toggles between high camp and deadly earnestness, all the while threatening to drown in an ocean of not-so-special effects."
m/0814255,Rafer Guzman,TRUE,Newsday,Rotten,,2010/2/12,"Likable as Percy may be, it's not lightning he's stolen."
m/0814255,Tom Maurstad,TRUE,Dallas Morning News,Fresh,3月5日,2010/2/12,This is a kids' movie: Parents can either get into the silly-suspenseful spirit of it or play Rummikub on their iPhones.
m/0814255,Frank Swietek,FALSE,One Guy's Opinion,Rotten,C,2010/2/12,"While it certainly isn't terrible, it plays like a low-rent variation of the Harry Potter formula--innocuous but instantly forgettable."
m/0814255,Sandra Hall,TRUE,Sydney Morning Herald,Rotten,3月5日,2010/2/12,All you have at the end of it is an enervating feeling of deja vu.
m/0814255,Carrie Rickey,TRUE,Philadelphia Inquirer,Fresh,2.5/4,2010/2/12,"Like its stars, the film is genial good company."
m/0814255,Helen O'Hara,FALSE,Empire Magazine,Fresh,3月5日,2010/2/12,It's apparent that Potter may at last have a worthy successor.
m/0814255,Linda Barnard,TRUE,Toronto Star,Rotten,2.5/4,2010/2/12,"Unfortunately, the movie lacks that good old Potter charm, trading Harry's dark whimsy for a handful of CGI magic beans."
m/0814255,Chris Hewitt,FALSE,St. Paul Pioneer Press,Fresh,3月4日,2010/2/12,"There are lots of cool surprises along the way, and the special effects are fantastic, especially the ones that create Uma Thurman's Medusa snakedo."
m/0814255,Sara Michelle Fetters,FALSE,MovieFreak.com,Fresh,2.5/4,2010/2/12,"Columbus and company have crafted an agreeable mythological jaunt the whole family will enjoy, and while I wouldn't pay more than matinee prices that still means making the quest to the multiplex is a journey worthy of the undertaking."
m/0814255,,FALSE,National Post,Rotten,2.5/4,2010/2/12,
m/0814255,S.T. VanAirsdale,FALSE,Movieline,Fresh,6.5/10,2010/2/12,Lerman has a presence even with a mouth full of bad dialogue.
m/0814255,Tony Medley,FALSE,tonymedley.com,Rotten,3月10日,2010/2/12,This film is replete with plot holes.
m/0814255,Peter Bradshaw,TRUE,Guardian,Rotten,2月5日,2010/2/12,Some moments of inspired silliness save this escapist adventure from complete dullness.
m/0814255,Marc Savlov,FALSE,Austin Chronicle,Rotten,1.5/5,2010/2/12,"A dull, scattershot affair that owes much to both X-Men and Greek mythology but which never seems to slow down enough to make any sense whatsoever."
m/0814255,David Nusair,FALSE,Reel Film Reviews,Fresh,3月4日,2010/2/13,...an agreeable fantasy adventure that should leave fans of the genre satisfied.
m/0814255,Jen Yamato,FALSE,Movies.com,Rotten,2.5/5,2010/2/13,"Director Columbus never quite gets comfortable juggling the film's myriad characters, grandiose-but-stale CGI effects, and PG-friendly battle scenes, speeding headlong through endless plot points rather than taking the time to make any of them matter."
m/0814255,Michelle Alexandria,FALSE,Eclipse Magazine,Fresh,B-,2010/2/13,"This is what a quality book adaptation should do, stand on it's own, while making you want to explore more. But JESUS! Can we stop the Apple Product Placements! I don't want to see a freaking iPhone in a Fantasy film!!!"
m/0814255,Rubin Safaya,FALSE,Cinemalogue,Rotten,C-,2010/2/13,"Despite so much epic drama in Greek mythology from which to borrow, here we are given little sense of the magnitude of the clash between the quarrelsome gods..."
m/0814255,Fred Topel,FALSE,Syfy Wire,Fresh,,2010/2/14,"It would be an easy slam review. But if you like big pretty toy commercials, it's plenty of fun."
m/0814255,Giles Hardie,TRUE,Sydney Morning Herald,Fresh,3月5日,2010/2/14,"""It is a bit hard to see quite where Percy Jackson and the Lightening Thief's market lies. Too adult for juveniles, too juvenile for adults."
m/0814255,Todd Gilchrist,FALSE,H Magazine,Rotten,,2010/2/16,"there's not one single thing in it that will appeal to a person who has ever seen a mythological origin story before, much less any other sort of adventure movie."
m/0814255,Jackie K. Cooper,FALSE,jackiekcooper.com,Rotten,4月10日,2010/2/16,So trite and ludicrous it is no threat to the Harry Potter franchise
m/0814255,Robin Clifford,FALSE,Reeling Reviews,Rotten,C+,2010/2/16,...an attempt to replicate the phenomenon that is Harry Potter.
m/0814255,A.O. Scott,TRUE,At the Movies,Fresh,,2010/2/16,I thought it was mischievous and witty and amusing and I was just sort of drawn into it.
m/0814255,Christopher Tookey,FALSE,Daily Mail (UK),Rotten,1月5日,2010/2/16,"Maybe if you're aged between eight and 12, or exceptionally dim-witted, you may not notice that this is a tenth-rate rip-off of Harry Potter, with Greek mythology taking the place of magic."
m/0814255,Grant Lauchlan,FALSE,Daily Record (UK),Fresh,4月5日,2010/2/16,"The technical wizardry is spectacular and the story is taut, pacy and consistently inventive."
m/0814255,Graham Young,FALSE,Birmingham Post,Fresh,4月5日,2010/2/16,"The film is a rousing blend of special effects, but not so scary that children aged seven and above will spend the entire movie hiding behind their fingers."
m/0814255,Mark Pfeiffer,FALSE,Reel Times: Reflections on Cinema,Rotten,C+,2010/2/16,Percy Jackson & the Olympians is a dutifully made kids' fantasy film that Columbus handles with the basic approach that he wielded on his faithful but vanilla Harry Potter adaptations.
m/0814255,Sam Bathe,FALSE,Fan The Fire,Fresh,3月5日,2010/2/16,"Chris Columbus was a safe choice behind the lens, and he doesn't throw up any surprises. Columbus brings a measured approach that works on the whole, delivering the expected mix of set-ups, set-pieces and edge of your seat showdowns."
m/0814255,Susan Granger,FALSE,SSG Syndicate,Fresh,7月10日,2010/2/16,"An imaginative, if simplistic, visit to classical Greek mythology, an archetypal quest by a lad with paternal issues."
m/0814255,,TRUE,Time Out,Rotten,2月5日,2010/2/16,"It's not enough to compensate for the computer-game-style plotting, which is largely based on us picking up narrative nuggets that mechanically slot into place later on."
m/0814255,Kate Muir,TRUE,Times (UK),Fresh,3月5日,2010/2/16,"Kids will love it, and adults may relish Pierce Brosnan's Centaur, and Steve Coogan as Hades - in his personal hell just under Hollywood."
m/0814255,Tim Robey,TRUE,Daily Telegraph (UK),Rotten,1月5日,2010/2/16,A slab of market research in search of an actual movie.
m/0814255,Philip French,FALSE,Observer (UK),Fresh,,2010/2/16,"The tone is not always certain, but the special effects are as spectacular as and the mythological underpinning more compelling than anything in the Harry Potter series."
m/0814255,Lara Martin,FALSE,Digital Spy,Fresh,4月5日,2010/2/16,Percy Jackson manages to make Greek mythology both fun and exciting and is sure to appeal to its key demographic.
m/0814255,Charles Gant,FALSE,Heat Magazine,Fresh,3月5日,2010/2/16,"Not bad, but JK Rowling can rest easy."
m/0814255,Elliott Noble,FALSE,Sky Cinema,Fresh,3月5日,2010/2/16,There's plenty of larks to be had from a fast-moving fantasy that doesn't take its mythology too seriously and employs actors who don't look like teenage rabbits in headlights.
m/0814255,Neil Smith,FALSE,Total Film,Fresh,3月5日,2010/2/16,"While you suspect it's really just a big Clash Of The Titans spoiler, there's enough action in Jackson to make it succeed on its own terms. Lerman's a likeable lead, though it's the game supporting cast that keeps you watching."
m/0814255,Trevor Johnston,FALSE,Radio Times,Rotten,2月5日,2010/2/16,"It's evidently Potter-ish, but unashamedly aimed at younger viewers - which makes the emphasis on the junior hero's fighting skills and a clearly misguided Las Vegas casino sequence all the more dismaying."
m/0814255,David Edwards,FALSE,Daily Mirror (UK),Rotten,,2010/2/16,"While the Hogwarts saga may be getting long in the tooth, at least it has decent characters and a sense of humour. This has neither."
m/0814255,Alex Zane,FALSE,The Sun (UK),Fresh,3月5日,2010/2/16,"It is great to see Greek Mythology taking centre stage, even if people must say ""no way"", ""yes way"" when faced with a fire-breathing hydra."
m/0814255,Nigel Andrews,TRUE,Financial Times,Rotten,2月5日,2010/2/16,Digitisation reigns - spectacular visual effects - while the dialogue drizzles and sploshes.
m/0814255,Anthony Quinn,TRUE,Independent (UK),Rotten,1月5日,2010/2/16,"If they'd played it for laughs it might just have worked, but in fact its earnest tone and digimation effects stick pretty close to the Potter model. We could be in for a very long haul."
m/0814255,Allan Hunter,FALSE,Daily Express (UK),Rotten,2月5日,2010/2/16,"Very American, very crass and very underwhelming."
m/0814255,Anna Smith,FALSE,Metro (UK),Rotten,2月5日,2010/2/16,"The story is told in bland, episodic fashion with no sense of drama or threat."
m/0814255,Derek Malcolm,TRUE,London Evening Standard,Rotten,1月5日,2010/2/16,This ineffably wooden Chris Columbus adaptation of author Rick Riordan's best-seller for young teens has a screenplay that defies description.
m/0814255,Robbie Collin,FALSE,News of the World,Fresh,4月5日,2010/2/16,"It's fantastic fun, it knows its Greek mythology, and it's a very promising start to a franchise. More of the same, please."
m/0814255,Kevin A. Ranson,FALSE,MovieCrypt.com,Fresh,3月4日,2010/2/17,Remember the first time you saw Harry Potter on the big screen? This is more like the third time you saw him but with bigger effects and Greek mythology replacing the occult.
m/0814255,Robert Roten,FALSE,Laramie Movie Scope,Fresh,,2010/2/18,"An awful lot of acting talent goes to waste in this film, but there is barely enough here to marginally satisfy the younger set."
m/0814255,Amy Nicholson,TRUE,I.E. Weekly,Rotten,C,2010/2/18,The Greek gods had outsized powers and petty grievances. These Gen-Y demigods are no different - it's a whole generation of kids with daddy issues
m/0814255,Kelly Vance,FALSE,East Bay Express,Fresh,,2010/2/18,Grand prize goes to Uma Thurman as snake-headed Medusa. It's also a pleasure to see Steve Coogan in hell.
m/0814255,Andy Klein,FALSE,Christian Science Monitor,Fresh,,2010/2/18,"The whole thing is piffle, but it moves fast enough to stay entertaining."
m/0814255,John Beifuss,FALSE,"Commercial Appeal (Memphis, TN)",Fresh,3月4日,2010/2/19,"A fun, effects-filled, escapist adventure, with several clever notions: Medusa sells garden statuary as a cover, and the Parthenon in Nashville is home to a hydra."
m/0814255,Michael Smith,FALSE,Tulsa World,Rotten,2月4日,2010/2/19,"A safe, bland, test-marketed product made for tween mass consumption. Like most films arriving with ampersands and colons in the title, it's a bore."
m/0814255,Cynthia Fuchs,FALSE,PopMatters,Rotten,,2010/2/19,"It looks like the characters of color in Percy Jackson have been paired off, a remarkable choice in a movie that is, in essence, about the glories of half-breeds."
m/0814255,Jayne Nelson,FALSE,SFX Magazine,Fresh,3.5/5,2010/2/19,"It's all jolly good fun, rattling along at a perfect pace with enough action setpieces and spectacle to keep both youngsters and adults happy."
m/0814255,Mark R. Leeper,FALSE,rec.arts.movies.reviews,Fresh,7月10日,2010/2/24,What surprised me is that I had some affection for an action adventure film the way I would have in the days of the Ray Harryhausen's best films.
m/0814255,Brian Gibson,FALSE,"Vue Weekly (Edmonton, Alberta)",Rotten,,2010/3/3,"Another attempted launch of a teen-aimed franchise, but this show-boat is rowing through the motions. Seen-that, been-there fantasy-epic stuff with dialogue more wooden and hollow than the Trojan Horse."
m/0814255,Todd Hertz,FALSE,Christianity Today,Fresh,2.5/4,2010/3/5,"While this flick may not have Harry Potter's complex world and multiple layers, it also doesn't have the angst and darkness. It replaces them with one thing in bulk: Fun."
m/0814255,Jim Lane,FALSE,Sacramento News & Review,Fresh,3月5日,2010/3/14,... a sprightly Harry Potter clone and an eye-candy-coated intro to Greek mythology.
m/0814255,Joseph Proimakis,FALSE,Movies for the Masses,Rotten,2.5/5,2010/3/26,click to read full review
m/0814255,Michael Dequina,FALSE,TheMovieReport.com,Rotten,2.5/4,2010/5/16,"Of all the would-be Potter projects that have hit the screen over the years, this is one of more polished and enjoyable ones."
m/0814255,James Plath,FALSE,Movie Metropolis,Fresh,7月10日,2010/6/30,"A great family film, with just the right measures of action, mythological allusions, humor, and adventure."
m/0814255,Wesley Lovell,FALSE,Cinema Sight,Fresh,3月4日,2010/7/4,"Not a perfect film, but the movie does have a certain passion that a lot of other franchise attempts have lacked. If you like Greek mythology and are looking for an antidote to Clash of the Titans, this may be what you're looking for."
m/0814255,Brett Michel,FALSE,Boston Phoenix,Rotten,2.5/4,2010/7/6,Mildly diverting.
m/0814255,Chris Bumbray,FALSE,JoBlo's Movie Network,Rotten,5.5/10,2010/7/6,"Just another mediocre fantasy flick, but if you enjoyed the books, I'm sure you'll enjoy the film."
m/0814255,Peter Canavese,FALSE,Groucho Reviews,Fresh,2.5/4,2010/7/6,"An enjoyable PG-rated family adventure in its own right, but Columbus' film can't live up to the Potter gold standard, and it strays enough from Riordan's source material to make its tween readership blow a gasket every few minutes. [Blu-ray]"
m/0814255,Matthew Pejkovic,FALSE,Matt's Movie Reviews,Fresh,3月5日,2010/7/17,Percy Jackson & the Olympians: The Lightning Thief proves to be a satisfying beginning to what is sure to be a promising film franchise.
m/0814255,Jeffrey Chen,FALSE,Window to the Movies,Fresh,6月10日,2010/8/4,Manages to pay its respects to the Greek myths and actually convey them as fun.
m/0814255,Dave White,FALSE,Movies.com,Rotten,2月5日,2011/4/4,It kind of just builds up to a lot of Not Much.
m/0814255,Joshua Starnes,FALSE,ComingSoon.net,Rotten,4月10日,2011/4/25,"Percy Jackson is simply uninspired in every single meaning of the word. It's probably the crassest, most obviously derivative work of this sort since Eragon."
m/0814255,Greg Maki,FALSE,"Star-Democrat (Easton, MD)",Rotten,D+,2011/11/5,The premise of Percy Jackson & the Olympians: The Lightning Thief holds great potential potential the film never realizes.
m/0814255,Kevin Carr,FALSE,7M Pictures,Fresh,3.5/5,2012/7/31,It provides a great adventure movie for the family audience.
m/0814255,David Keyes,FALSE,Cinemaphile.org,Rotten,2月4日,2015/1/9,The plot uses the presence of the Greek gods as an indistinct outline to influence teenagers who are more interested in the prestige and glamor of their connection than the responsibility that comes with it.
m/0814255,Sarah Knight Adamson,FALSE,Sarah's Backstage Pass,Fresh,3月4日,2020/1/13,"As a former middle school teacher of gifted literature, I value all fairly well-made films for children and parents and this one is in that league."
m/0814255,Felicia Feaster,FALSE,Charleston City Paper,Fresh,,2020/1/23,The Lightning Thief is an admirable kid's fantasy.
m/0814255,Leigh Paatsch,FALSE,Herald Sun (Australia),Rotten,2.5/5,2020/6/26,"OK, but only just."
m/0814255,Richard Propes,FALSE,TheIndependentCritic.com,Rotten,2月4日,2020/9/19,There's nothing resembling a spark in this film anywhere.
m/0878835,Justin Chang,TRUE,Variety,Fresh,,2010/1/25,"Like Holofcener's previous pictures, Please Give derives its narrative energy less from a series of plotted incidents than from its keenly observed interplay of clashing personality tics and worldviews."
m/0878835,Kirk Honeycutt,TRUE,Hollywood Reporter,Rotten,,2010/1/25,"A muted, almost Rohmer-like moral tale that doesn't quite dive deeply enough into its several characters."
m/0878835,Tim Grierson,FALSE,Screen International,Fresh,,2010/1/25,"Keener, Peet and Hall all shine as women plagued with self-doubt who respond to those insecurities in strikingly different ways."
m/0878835,Andrew O'Hehir,TRUE,Salon.com,Fresh,,2010/1/28,"An edgy, somber, beautifully written Manhattan fable of guilt, shame, infidelity, death and real estate."
m/0878835,Erik Childress,FALSE,eFilmCritic.com,Fresh,3月4日,2010/1/31,"Holofcener always gives us more to chew on than originally meets the eye in her films and she writes female characters with an intelligence, sensitivity and realism that blows the Sex and the City foursome away any day of the week."
m/0878835,Richard Mowe,FALSE,Boxoffice Magazine,Fresh,3月5日,2010/3/24,"The tone is low-key but very funny. Yet, at the same time, the film also manages to have a sardonic edge."
